"Country.Name","Country.Code","Year.x","Ease.of.Doing.Business","Education.Expenditure....GDP.","GDP","Health.Expenditure....GDP.","Inflation.Rate","Unemployment","Education.Expenditure","GDP.Per.Capita","Population.Density","Democracy.score","Buddhists","Christians","Muslims","year","ht_colonial"
"Estonia","EST",2020,80.683998,14.3500003814697,31370395572.7653,7.75206661,-0.444531097679859,6.96,4501651884.36037,23595.2436836437,29.3233789148655,7.84,0,39.3,0,2020,0
"Eswatini","SWZ",2020,58.430416,15.8900003433228,3982236726.3678,6.51153374,6.82290305539123,25.08,632777429.49177,3372.90463883844,68.0100806451613,3.08,NA,NA,NA,2020,1
"Ethiopia","ETH",2020,45.805204,23.8338111989639,107657734392.446,3.48096275,20.3563468559061,4.126,25658941156.1776,918.65259407742,103.139264619715,3.38,0,61.9,35.9,2020,0
"Fiji","FJI",2020,61.653468,16.3917503356934,4477030179.83128,3.74984646,-2.5952432588737,4.794,733863609.531589,4864.10600771307,50.3788724685276,5.72,0,64.4,6.3,2020,1
"Finland","FIN",2020,80.081378,10.2299995422363,271886077382.097,9.61349583,0.290554555653313,7.76,27813944471.5928,49169.719338849,16.3373603970927,9.2,0,77.7,1.3,2020,0
"France","FRA",2020,76.398452,9.67071332931519,2639008701648.21,12.20504951,0.476498852725083,8.01,255210966272.081,39055.2829280747,123.060868310328,7.99,0,58.1,8.3,2020,0
"Gabon","GAB",2020,44.394724,15.025520324707,15314577167.8199,3.42724609,1.35276110675339,21.726,2301094904.99372,6680.08267035331,8.56492322636082,3.54,0,75.6,12.2,2020,1
"Georgia","GEO",2020,81.867716,11.1701898574829,15842922532.7202,7.6048708,5.2024648897533,11.73,1769684525.87878,4255.74299321254,53.4105595408895,5.31,0,87.6,11.6,2020,0
"Georgia","GEO",2020,81.867716,11.1701898574829,15842922532.7202,7.6048708,5.2024648897533,11.73,1769684525.87878,4255.74299321254,53.4105595408895,5.31,0,87.6,11.6,2020,0
"Germany","DEU",2020,79.49248,9.18000030517578,3889668895299.56,12.82248878,0.144877925813972,3.86,357071616458.827,46772.8253507537,232.559274588216,8.67,0,66,6.9,2020,0
"Ghana","GHA",2020,58.759852,23.1386650800705,70043095503.2503,3.99029994,9.8872895626994,3.774,16207037280.211,2176.57621802942,134.911336100281,6.5,0,73.6,17.5,2020,1
"Greece","GRC",2020,67.39229,7.46000003814697,188925995936.803,9.50820732,-1.24798355581408,16.31,14093879368.955,17658.9473011189,81.0745604728706,7.39,0,87.6,5.9,2020,0
"Guatemala","GTM",2020,62.058124,21.141170501709,77715183063.2054,6.46871376,3.21444062197346,3.359,16429899357.1075,4609.89725752869,154.81984571586,4.97,0,95.3,0,2020,1
"Guinea","GIN",2020,47.14269,14.290060043335,14177835840.8311,4.0445075,10.6016203387166,5.945,2026021254.50023,1073.6593389589,53.710050435207,3.08,0,10.8,84.6,2020,1
"Guinea-Bissau","GNB",2020,42.514344,8.00979328155518,1431758231.68287,8.40978622,1.14000939393218,3.605,114680874.649448,710.258132977055,55.7937448104069,2.63,0,18.9,46.1,2020,1
"Guyana","GUY",2020,55.033552,14.5717139524572,5471256594.72422,5.50864172,0.993337022838757,15.589,797255860.588163,6863.07434593017,3.70843373493976,6.01,0,67.9,6.1,2020,1
"Haiti","HTI",2020,38.349214,11.6380405426025,14508222518.158,3.22171094,22.7963113642528,15.085,1688472818.67421,1283.14122784667,407.452288288288,4.22,0,87,0,2020,1
"Honduras","HND",2020,55.99769,24.2547702789307,23827859694.7921,9.03509808,3.46841177951168,10.68,5779392631.35774,2354.12148010106,89.979224819984,5.36,0,87.5,0,2020,1
"Hungary","HUN",2020,72.35731,9.18000030517578,157227094449.074,7.25031424,3.3267438576673,4.25,14433447750.244,16125.6094085407,104.806503278512,6.56,0,79.3,0,2020,0
"Iceland","ISL",2020,78.989322,15.2799997329712,21553080483.8132,9.55796337,2.84792401518658,5.48,3293310640.37372,58813.7969830875,3.5578932038835,9.37,0,94,0,2020,0
"India","IND",2020,61.98211,16.5401592254639,2671595389575.7,2.95919013,6.62343677628532,10.195,441886131295.973,1913.21972103492,424.787551638751,6.61,0,2.4,15.4,2020,1
"Indonesia","IDN",2020,66.280608,19.1527996063232,1059054842711.72,3.41433048,1.92096800566845,4.25,202838651745.637,3895.61815205094,141.821174746021,6.3,0,10.2,87,2020,1
"Indonesia","IDN",2020,66.280608,19.1527996063232,1059054842711.72,3.41433048,1.92096800566845,4.25,202838651745.637,3895.61815205094,141.821174746021,6.3,0,10.2,87,2020,1
"Iraq","IRQ",2020,44.196292,13.5,180924091442.953,5.08489752,0.574162679425838,16.23,24424752344.7987,4251.33725272808,97.8204536469204,3.62,0,0,100,2020,1
"Ireland","IRL",2020,79.833916,11.3299999237061,425852281928.114,7.10143661,-0.334584625428444,5.62,48249063217.556,85420.1908556083,70.9359988616961,9.05,0,89.7,1.5,2020,0
"Israel","ISR",2020,74.638542,15.6000003814697,413267669231.522,8.31950188,-0.614412358465719,4.33,64469757976.6084,44846.7915954815,417.539646579067,7.84,0,2,20.1,2020,0
"Italy","ITA",2020,72.51951,7.46999979019165,1897210466667.52,9.63378334,-0.13770757391657,9.16,141721617879.558,31918.6934933773,196.773080895692,7.74,0,80.8,4.9,2020,0
"Jamaica","JAM",2020,67.836,17.7749625256187,13812421859.4026,6.61175442,5.22677779293517,6.5,2455152809.38918,4897.26477019957,256.636578707916,7.13,0,77.3,0,2020,1
"Japan","JPN",2020,77.904454,7.30999994277954,5048789595589.43,10.9042511,-0.0249958340276592,2.8,369066516548.647,39986.928628709,334.046786286887,8.13,33.2,1.8,0,2020,0
"Jordan","JOR",2020,60.789308,12.3699998855591,43579916197.1831,7.4691391,0.33329435062843,19.21,5390835583.7183,3987.65017399411,122.35743075304,3.62,0,2.1,97.1,2020,1
"Kazakhstan","KAZ",2020,76.049054,18.5968742370605,171082365723.326,3.78894091,6.7715458276334,4.89,31815972395.3548,9121.63640167862,6.88306580057984,3.14,0,23.1,72,2020,0
"Kazakhstan","KAZ",2020,76.049054,18.5968742370605,171082365723.326,3.78894091,6.7715458276334,4.89,31815972395.3548,9121.63640167862,6.88306580057984,3.14,0,23.1,72,2020,0
"Kenya","KEN",2020,66.0809,21.2266182618983,100657505600.655,4.29190731,5.40481467184518,5.616,21366184465.7999,1936.25075166045,89.5735134483175,5.05,0,84.5,10.5,2020,1
"Kuwait","KWT",2020,62.475876,11.912670135498,105948765156.029,6.30743313,2.1017295482741,3.331,12621326905.6712,24297.70114145,244.693827160494,3.8,5.4,13.6,70.7,2020,1
"Latvia","LVA",2020,80.065268,13.7600002288818,34601740323.338,7.44663048,0.219064904842049,8.1,4761199547.68839,18207.1396408628,29.4232698560149,7.24,0,54.3,0,2020,0
"Lebanon","LBN",2020,54.45721,9.89828968048096,31712128253.7961,7.95365763,84.8643330472041,12.971,3138958318.40639,5599.95752260734,541.906507177034,4.16,0,38.4,61.2,2020,1
"Lesotho","LSO",2020,57.974298,13.7912197113037,2117736527.79886,11.78428555,4.97809676252307,18.461,292061697.455275,939.504249056768,74.2457180500659,6.3,0,97,0,2020,1
"Liberia","LBR",2020,42.058992,13.713475227356,3039982500,9.49941349,10.5540123846081,3.842,416887247.053458,597.529691893048,45.6818173655383,5.32,0,86.2,11.7,2020,0
"Libya","LBY",2020,32.603984,NA,46808208747.2754,3.6724187525,1.7331989818419,20.343,NA,7034.65836451165,3.78163724609841,1.95,0,2.7,96.6,2020,1
"Lithuania","LTU",2020,80.284528,12.0299997329712,56914826860.6918,7.53844357,1.19989444983569,8.49,6846853519.36224,20363.9244050084,42.8072446010109,7.13,0,89.9,0,2020,0
"Luxembourg","LUX",2020,69.421058,10.5500001907349,73992591285.3017,5.76745605,0.819957302126994,6.77,7806218521.72902,117370.49690016,243.405019305019,8.68,0,70.6,2.3,2020,0
"Madagascar","MDG",2020,45.159238,15.3369598388672,13051441203.4474,3.87958431,4.20179312190553,2.363,2001694295.76609,462.40422880067,48.0596242092986,5.7,0,84.7,3.1,2020,1
"Malawi","MWI",2020,56.750768,11.4976501464844,12056108780.2073,5.43400049,8.6255146965055,5.681,1386169208.82782,622.18459136849,163.547104996624,5.74,0,83.4,12.8,2020,1
"Malaysia","MYS",2020,79.692252,15.4426202774048,337339463179.961,4.12441826,-1.13870215393056,4.54,52094052344.7172,10160.8293465592,100.532620116824,7.19,15.7,9.4,66.1,2020,1
"Mali","MLI",2020,52.368452,14.4661197662354,17465392779.0366,4.3081193,0.438088940320712,3.53,2526564637.05886,822.906137523139,17.1135390544997,3.93,0,2.4,94.6,2020,1
"Malta","MLT",2020,64.782142,12.789999961853,15046136935.4814,10.83521566,0.638544956776653,4.35,1924400908.30842,29196.9777453785,1610.4125,7.68,0,97,0,2020,0
"Mauritania","MRT",2020,47.905572,9.72708988189697,8405498735.74293,3.35572982,2.38569488456315,11.137,817610417.047428,1868.46824831502,4.36461045891142,3.92,0,0,100,2020,1
"Mauritius","MUS",2020,78.642456,16.1178798675537,11401040995.9946,6.65996122,2.58080077182828,8.63,1837606091.38496,9005.46202174273,620.595098039216,8.14,0,32.8,17.4,2020,1
"Mexico","MEX",2020,72.243328,19.3104967820017,1090514966785.91,6.2421484,3.39683415569999,4.45,210583857568.44,8654.99732516959,64.1416745784283,6.07,0,94.1,0,2020,1
"Moldova","MDA",2020,72.831246,17.9937705993652,11531967881.0624,6.77933121,3.76597122245353,3.82,2075035846.11084,4376.24249318341,77.8472673559823,5.78,0,97.4,0,NA,NA
"Mongolia","MNG",2020,66.857072,12.4599018096924,13312981427.4023,4.94451141,3.79604026111249,6.59,1658784413.79691,4041.17414513166,2.10619642574803,6.48,54.4,2.3,3.4,2020,0
"Montenegro","MNE",2020,72.639338,NA,4769995511.55242,11.42177582,-0.255655699848551,17.88,NA,7677.36914105516,44.9895727733526,5.77,0,76.6,20.3,2020,0
"Morocco","MAR",2020,70.17999,14.8181495666504,121347533649.793,5.99316072,0.705968661338317,11.114,17981459031.6677,3307.48419842978,82.1605016235584,5.04,0,0,100,2020,1
"Mozambique","MOZ",2020,53.444526,17.9349308013916,14156864916.4711,7.61939621,3.48393567493208,3.776,2539023926.41558,454.062364345565,39.0030260952238,3.51,0,57.8,17.2,2020,1
"Myanmar","MMR",2020,43.615794,9.41651301383972,78930259068.5275,4.62411975,13.6654428968546,1.48,7432478117.04529,1477.4529047948,78.9594850648103,3.04,NA,NA,NA,2020,1
"Namibia","NAM",2020,60.786982,24.9413795471191,10583748757.3345,8.8962574,2.20938236933476,21.236,2639732947.8803,4252.04180684509,3.01968724599352,6.52,0,97.5,0,2020,1
"Nepal","NPL",2020,60.111662,15.0051250457764,33433659223.1789,5.17351818,5.05236655289216,13.078,5016762373.81675,1139.18989202387,199.406352765321,5.22,10,0,5,2020,0
"Netherlands","NLD",2020,75.876046,11.0200004577637,909793466661.466,11.1359272,1.2724603778917,3.82,100259244190.798,52162.5701150398,419.872412132884,8.96,0,47.3,6.9,NA,NA
"New Zealand","NZL",2020,87.018468,14.4399995803833,212569779569.515,10.02858734,1.71456170007244,4.6,30695075277.8597,41760.5947839997,19.0138582794815,9.25,1.9,52.9,1.6,2020,0
"Nicaragua","NIC",2020,54.292616,22.8199996948242,12678162359.4021,8.62854576,3.68181341625573,5.937,2893156611.72488,1876.6073716957,51.8209327299225,3.6,0,85.3,0,2020,1
"Niger","NER",2020,51.178864,13.3325395584106,13744174582.2532,6.20069504,2.89819376026271,0.68,1832447513.15592,564.821997328603,19.2057134964483,3.29,0,0,98.3,NA,NA
"Nigeria","NGA",2020,51.831352,5.13144016265869,432198936002.177,3.38063431,13.2460234276598,5.999,22178029784.5992,2074.61392802439,225.51869512974,4.1,0,46.9,51.1,2020,1
"North Macedonia","MKD",2020,80.04747,8.64087963104248,12363580534.6811,7.8894825,1.20007348888482,16.55,1068322112.08879,5965.45023195364,80.6118630882925,5.89,NA,NA,NA,2020,0
"Norway","NOR",2020,82.478122,10.1400003433228,367633418886.627,11.41755009,1.28658490707998,4.42,37278029937.2733,68340.0181033701,8.61406503453168,9.81,0,81.7,4.9,2020,0
"Oman","OMN",2020,68.360054,12.2049798965454,75909397659.2978,5.32572365,-0.903874872278535,2.94,9264726723.906,16707.6230063214,14.679802907916,3,0,6.4,85.9,2020,1
"Pakistan","PAK",2020,54.454442,10.7962121963501,300425609206.18,2.95390352,9.73999313898131,6.55,32434586262.0767,1322.31478270271,285.387188795377,4.31,0,1.6,96.5,2020,1
"Panama","PAN",2020,65.867784,10.2431802749634,57086836942.4052,9.66291618,-1.55027540803758,14.114,5847507621.28497,13293.3332050433,57.0153478491768,7.18,0,92.7,0,2020,1
"Papua New Guinea","PNG",2020,58.76709,5.65000009536743,23848442440.267,2.52693653,4.87167398565548,2.694,1347437020.61873,2446.0844134006,21.0648172154524,6.1,0,100,0,2020,1
"Paraguay","PRY",2020,58.313838,9.84366989135742,35432177936.3317,7.57704258,1.7675159235669,7.55,3487826631.37087,5353.34804464199,16.2720650420895,6.18,0,96.9,0,2020,1
"Peru","PER",2020,67.894132,15.9270896911621,201947603715.409,6.30416107,2.00241205759293,7.18,32164375972.9058,6063.62657980167,25.9136614743001,6.53,0,95.4,0,2020,1
"Philippines","PHL",2020,60.104746,15.5480909347534,361751145432.404,5.11274004,2.39316239316241,2.52,56245397049.3422,3224.4228110466,373.969923333333,6.56,0,92.4,5.7,NA,NA
"Poland","POL",2020,77.15643,10.6599998474121,599442783603.187,6.49310207,3.3744697261859,3.16,63900599817.4226,15816.8204022734,121.195580569857,6.85,0,92.5,0,2020,0
"Portugal","PRT",2020,76.48872,10.1499996185303,229031860520.773,10.54930592,-0.0124383299576167,6.8,23246732969.1713,22242.4064179716,111.645679280061,7.9,0,90.5,0,2020,0
"Qatar","QAT",2020,66.662066,9.31916046142578,144411363345.27,4.18303919,-2.54031503004763,0.14,13457926674.6783,52315.6600783115,240.242384682332,3.24,3.8,13.7,65.2,2020,1
"Romania","ROU",2020,72.892224,8.76000022888184,251362534092.315,6.27236223,2.63107311184752,5.03,22019358561.81,13047.457681178,80.8106124161074,6.4,0,100,0,2020,0
"Rwanda","RWA",2020,71.791252,10.783519744873,10172925171.5869,7.3156209,9.85039902274209,13.01,1096999394.50923,773.820557473383,499.102581624905,3.1,0,93.8,2.2,2020,1
"Saudi Arabia","SAU",2020,63.082024,19.0594501495361,734271183954.88,4.4024269968421,3.44545825956691,7.45,139948050268.289,20398.0609873699,16.7452548972177,2.08,0,4.4,92.7,2020,0
"Senegal","SEN",2020,53.50107,22.062780380249,24530513058.5946,5.15119171,2.54314685681659,3.509,5412113222.26603,1492.47590420334,83.555081083829,5.67,0,3.3,96.6,2020,1
"Serbia","SRB",2020,73.313744,9.44609498977661,53356484763.839,8.73161697,1.57553290083409,9.01,5040104233.99792,7733.80349392648,81.1757383221556,6.22,0,91.6,5,2020,0
"Sierra Leone","SLE",2020,47.18167,34.2441902160645,4062906363.55623,8.75637054,13.4468711101053,3.572,1391309383.43678,493.432252431844,113.886168741355,4.86,0,20.4,78.5,2020,1
"Singapore","SGP",2020,85.589466,11.9119901657104,348392174863.651,6.05388212,-0.181916666666656,4.1,41500441607.8627,61274.0064626976,7810.17445054945,6.03,32.2,17.7,16.1,2020,1
"Slovenia","SVN",2020,75.889958,11.2200002670288,53706800043.6833,9.45357895,-0.0548568157606067,4.97,6025903108.31389,25545.2410027132,102.657177734375,7.54,0,77.2,3.9,2020,0
"South Africa","ZAF",2020,66.137888,19.5272808074951,337619569570.511,8.58329773,3.21003597454107,24.34,65927921411.09,5741.64124877253,48.234278847337,7.05,0,80.8,1.9,2020,1
"Spain","ESP",2020,77.364102,8.89000034332275,1276962685648.23,10.71374989,-0.322753017299705,15.53,113521987138.231,26959.6754367322,93.6135842122669,8.12,0,75.2,3.3,2020,0
"Sri Lanka","LKA",2020,60.504324,10.805615234375,84440535698.8207,4.06584978,6.15394508391743,5.2,9124319389.45963,3852.38996755421,334.080170705685,6.14,68.6,7.2,10.4,2020,1
"Sudan","SDN",2020,45.639498,9.37264525890351,27034593750,3.01747656,163.257782355457,19.292,2533856569.3732,608.332540512721,23.6637305644302,2.54,0,5.4,90.7,NA,NA
"Suriname","SUR",2020,47.225936,13.9423503875732,2911807496.20227,6.77187824,34.889784309078,9.524,405974403.732143,4796.53331389929,3.70568306678061,6.82,0,52.3,14.3,2020,1
"Sweden","SWE",2020,81.993546,13.6400003433228,547054174235.876,11.37992764,0.497367318853562,8.29,74618191243.9352,52837.9039778149,19.5768789809727,9.26,0,63,6.5,2020,0
"Switzerland","CHE",2020,76.538432,14.2399997711182,739913619797.445,11.79635048,-0.725874933313391,4.82,105363697765.629,85656.322666307,209.205265438278,8.83,0,70,5.6,2020,0
"Tajikistan","TJK",2020,55.25536,17.7720508575439,8133963813.3329,8.17697811,11.1874533417745,7.485,1445572185.63974,852.330229589791,67.500403168765,1.94,0,1.8,96.4,2020,0
