"Country.Name","Country.Code","Education.Expenditure....GDP.","GDP","Health.Expenditure....GDP.","GDP.Per.Capita","Democracy.score","Buddhists","Christians","Muslims","ht_colonial","Legalized"
"Jordan","JOR",12.3699998855591,43579916197.1831,7.4691391,3987.65017399411,3.62,0,2.1,97.1,1,0
"Kazakhstan","KAZ",18.5968742370605,171082365723.326,3.78894091,9121.63640167862,3.14,0,23.1,72,0,0
"Kazakhstan","KAZ",18.5968742370605,171082365723.326,3.78894091,9121.63640167862,3.14,0,23.1,72,0,0
"Kenya","KEN",21.2266182618983,100657505600.655,4.29190731,1936.25075166045,5.05,0,84.5,10.5,1,0
"Kuwait","KWT",11.912670135498,105948765156.029,6.30743313,24297.70114145,3.8,5.4,13.6,70.7,1,0
"Latvia","LVA",13.7600002288818,34601740323.338,7.44663048,18207.1396408628,7.24,0,54.3,0,0,0
"Lebanon","LBN",9.89828968048096,31712128253.7961,7.95365763,5599.95752260734,4.16,0,38.4,61.2,1,0
"Lesotho","LSO",13.7912197113037,2117736527.79886,11.78428555,939.504249056768,6.3,0,97,0,1,0
"Liberia","LBR",13.713475227356,3039982500,9.49941349,597.529691893048,5.32,0,86.2,11.7,0,0
"Libya","LBY",2.3,46808208747.2754,3.6724187525,7034.65836451165,1.95,0,2.7,96.6,1,0
"Lithuania","LTU",12.0299997329712,56914826860.6918,7.53844357,20363.9244050084,7.13,0,89.9,0,0,0
"Luxembourg","LUX",10.5500001907349,73992591285.3017,5.76745605,117370.49690016,8.68,0,70.6,2.3,0,1
"Madagascar","MDG",15.3369598388672,13051441203.4474,3.87958431,462.40422880067,5.7,0,84.7,3.1,1,0
"Malawi","MWI",11.4976501464844,12056108780.2073,5.43400049,622.18459136849,5.74,0,83.4,12.8,1,0
"Malaysia","MYS",15.4426202774048,337339463179.961,4.12441826,10160.8293465592,7.19,15.7,9.4,66.1,1,0
"Mali","MLI",14.4661197662354,17465392779.0366,4.3081193,822.906137523139,3.93,0,2.4,94.6,1,0
"Malta","MLT",12.789999961853,15046136935.4814,10.83521566,29196.9777453785,7.68,0,97,0,0,1
"Mauritania","MRT",9.72708988189697,8405498735.74293,3.35572982,1868.46824831502,3.92,0,0,100,1,0
"Mauritius","MUS",16.1178798675537,11401040995.9946,6.65996122,9005.46202174273,8.14,0,32.8,17.4,1,0
"Mexico","MEX",19.3104967820017,1090514966785.91,6.2421484,8654.99732516959,6.07,0,94.1,0,1,1
"Moldova","MDA",17.9937705993652,11531967881.0624,6.77933121,4376.24249318341,5.78,0,97.4,0,1,0
"Mongolia","MNG",12.4599018096924,13312981427.4023,4.94451141,4041.17414513166,6.48,54.4,2.3,3.4,0,0
"Montenegro","MNE",4.2,4769995511.55242,11.42177582,7677.36914105516,5.77,0,76.6,20.3,0,0
"Morocco","MAR",14.8181495666504,121347533649.793,5.99316072,3307.48419842978,5.04,0,0,100,1,0
"Mozambique","MOZ",17.9349308013916,14156864916.4711,7.61939621,454.062364345565,3.51,0,57.8,17.2,1,0
"Myanmar","MMR",9.41651301383972,78930259068.5275,4.62411975,1477.4529047948,3.04,88,6,4,1,0
"Namibia","NAM",24.9413795471191,10583748757.3345,8.8962574,4252.04180684509,6.52,0,97.5,0,1,0
"Nepal","NPL",15.0051250457764,33433659223.1789,5.17351818,1139.18989202387,5.22,10,0,5,0,0
"Netherlands","NLD",11.0200004577637,909793466661.466,11.1359272,52162.5701150398,8.96,0,47.3,6.9,0,1
"New Zealand","NZL",14.4399995803833,212569779569.515,10.02858734,41760.5947839997,9.25,1.9,52.9,1.6,0,1
"Nicaragua","NIC",22.8199996948242,12678162359.4021,8.62854576,1876.6073716957,3.6,0,85.3,0,1,0
"Niger","NER",13.3325395584106,13744174582.2532,6.20069504,564.821997328603,3.29,0,0,98.3,1,0
"Nigeria","NGA",5.13144016265869,432198936002.177,3.38063431,2074.61392802439,4.1,0,46.9,51.1,1,0
"North Macedonia","MKD",8.64087963104248,12363580534.6811,7.8894825,5965.45023195364,5.89,0,65,33,0,0
"Norway","NOR",10.1400003433228,367633418886.627,11.41755009,68340.0181033701,9.81,0,81.7,4.9,0,1
"Oman","OMN",12.2049798965454,75909397659.2978,5.32572365,16707.6230063214,3,0,6.4,85.9,1,0
"Pakistan","PAK",10.7962121963501,300425609206.18,2.95390352,1322.31478270271,4.31,0,1.6,96.5,1,0
"Panama","PAN",10.2431802749634,57086836942.4052,9.66291618,13293.3332050433,7.18,0,92.7,0,1,0
"Papua New Guinea","PNG",5.65000009536743,23848442440.267,2.52693653,2446.0844134006,6.1,0,100,0,1,0
"Paraguay","PRY",9.84366989135742,35432177936.3317,7.57704258,5353.34804464199,6.18,0,96.9,0,1,0
"Peru","PER",15.9270896911621,201947603715.409,6.30416107,6063.62657980167,6.53,0,95.4,0,1,0
"Philippines","PHL",15.5480909347534,361751145432.404,5.11274004,3224.4228110466,6.56,0,92.4,5.7,1,0
"Poland","POL",10.6599998474121,599442783603.187,6.49310207,15816.8204022734,6.85,0,92.5,0,0,0
"Portugal","PRT",10.1499996185303,229031860520.773,10.54930592,22242.4064179716,7.9,0,90.5,0,0,1
"Qatar","QAT",9.31916046142578,144411363345.27,4.18303919,52315.6600783115,3.24,3.8,13.7,65.2,1,0
"Romania","ROU",8.76000022888184,251362534092.315,6.27236223,13047.457681178,6.4,0,100,0,0,0
"Rwanda","RWA",10.783519744873,10172925171.5869,7.3156209,773.820557473383,3.1,0,93.8,2.2,1,0
"Saudi Arabia","SAU",19.0594501495361,734271183954.88,4.4024269968421,20398.0609873699,2.08,0,4.4,92.7,0,0
"Senegal","SEN",22.062780380249,24530513058.5946,5.15119171,1492.47590420334,5.67,0,3.3,96.6,1,0
"Serbia","SRB",9.44609498977661,53356484763.839,8.73161697,7733.80349392648,6.22,0,91.6,5,0,0
"Sierra Leone","SLE",34.2441902160645,4062906363.55623,8.75637054,493.432252431844,4.86,0,20.4,78.5,1,0
"Singapore","SGP",11.9119901657104,348392174863.651,6.05388212,61274.0064626976,6.03,32.2,17.7,16.1,1,0
"Slovenia","SVN",11.2200002670288,53706800043.6833,9.45357895,25545.2410027132,7.54,0,77.2,3.9,0,0
"South Africa","ZAF",19.5272808074951,337619569570.511,8.58329773,5741.64124877253,7.05,0,80.8,1.9,1,1
"Spain","ESP",8.89000034332275,1276962685648.23,10.71374989,26959.6754367322,8.12,0,75.2,3.3,0,1
"Sri Lanka","LKA",10.805615234375,84440535698.8207,4.06584978,3852.38996755421,6.14,68.6,7.2,10.4,1,0
"Sudan","SDN",9.37264525890351,27034593750,3.01747656,608.332540512721,2.54,0,5.4,90.7,1,0
"Suriname","SUR",13.9423503875732,2911807496.20227,6.77187824,4796.53331389929,6.82,0,52.3,14.3,1,0
"Sweden","SWE",13.6400003433228,547054174235.876,11.37992764,52837.9039778149,9.26,0,63,6.5,0,1
"Switzerland","CHE",14.2399997711182,739913619797.445,11.79635048,85656.322666307,8.83,0,70,5.6,0,1
"Tajikistan","TJK",17.7720508575439,8133963813.3329,8.17697811,852.330229589791,1.94,0,1.8,96.4,0,0
"Tanzania","TZA",13.6285581588745,66068737757.2651,3.74659801,1070.72771814319,5.1,0,63.1,34.1,1,0
"Thailand","THA",15.4319591522217,500457261548.076,4.35930967,7001.78541255771,6.04,92.6,0,6,0,0
"Togo","TGO",18.1434535980225,7389329392.7704,5.96301126,875.245409906735,2.8,0,42.3,14,1,0
"Trinidad and Tobago","TTO",11.7679004669189,21059428846.0153,7.31458092,13871.7982158614,7.16,0,66.3,5.8,1,0
"Tunisia","TUN",24.7939389092582,42538462678.1201,6.34364796,3497.73323057268,6.59,0,0,100,1,0
"Turkmenistan","TKM",27.9983997344971,45610571428.5714,5.68487024,7297.18004219407,1.72,0,6.4,93,0,0
"Uganda","UGA",11.25,37605430214.347,3.96206594,846.881199214807,4.94,0,86.1,12.1,1,0
"Ukraine","UKR",13.0863704681396,156617719786.254,7.61658287,3548.84314993519,5.81,0,85.6,1.7,0,0
"United Arab Emirates","ARE",11.7062301635742,349473015330.157,5.67226824,37629.1741680653,2.7,2.4,12.9,75,0,0
"United Kingdom","GBR",10.5600004196167,2704609160088.15,11.97759342,40318.4169225055,8.54,0,59.1,6.1,0,1
"United States","USA",12.6499996185303,21060473613000,18.81582642,63528.6343027508,7.92,1.2,75.5,1.1,0,1
"Uruguay","URY",16.3634796142578,53666908479.5585,9.15207481,15650.4994274155,8.61,0,57,0,1,1
"Uzbekistan","UZB",20.5356502532959,60224701295.7983,6.74741459,1759.30747050785,2.12,0,2,97.1,0,0
"Vietnam","VNM",14.4071702957153,346615750166.553,4.68066788,3586.34729656749,2.94,16.2,8.4,0,1,0
"Zambia","ZMB",12.3780202865601,18110638619.3723,5.61788416,956.831747486281,4.86,0,97.4,0,1,0
"Zimbabwe","ZWE",15.6666107177734,21509698406.1116,3.42558146,1372.69667433317,3.16,0,87.1,0,1,0
