row_number,level,Nation_fk,Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
421,1,175,2020,Sub-Saharan Africa,St. Helena,0.00,96.50,0.00,0.00,0.00,0.00,0.00,3.30
422,1,176,2020,Latin America-Caribbean,St. Kitts and Nevis,0.00,94.60,1.30,1.50,0.00,0.00,0.00,1.60
423,1,177,2020,Latin America-Caribbean,St. Lucia,0.00,91.50,0.00,0.00,0.00,0.00,1.90,5.80
424,1,178,2020,North America,St. Pierre and Miquelon,0.00,94.70,0.00,0.00,0.00,0.00,1.30,3.80
425,1,179,2020,Latin America-Caribbean,St. Vincent and the Grenadines,0.00,88.70,2.00,3.40,0.00,1.50,2.00,2.50
426,1,180,2020,Asia-Pacific,Samoa,0.00,96.90,0.00,0.00,0.00,0.00,0.00,2.40
427,1,181,2020,Europe,San Marino,0.00,91.60,0.00,0.00,0.00,0.00,0.00,7.20
428,1,182,2020,Sub-Saharan Africa,Sao Tome and Principe,0.00,81.10,3.10,0.00,0.00,0.00,2.50,13.20
429,1,183,2020,Middle East-North Africa,Saudi Arabia,0.00,4.40,0.00,1.30,0.00,92.70,0.00,0.00
430,1,184,2020,Sub-Saharan Africa,Senegal,0.00,3.30,0.00,0.00,0.00,96.60,0.00,0.00
431,1,185,2020,Europe,Serbia,0.00,91.60,0.00,0.00,0.00,5.00,0.00,3.30
432,1,186,2020,Sub-Saharan Africa,Seychelles,0.00,94.00,0.00,2.10,0.00,1.10,0.00,2.10
433,1,187,2020,Sub-Saharan Africa,Sierra Leone,0.00,20.40,0.00,0.00,0.00,78.50,0.00,0.00
434,1,188,2020,Asia-Pacific,Singapore,32.20,17.70,2.40,6.50,0.00,16.10,8.50,16.50
435,1,189,2020,Europe,Slovakia,0.00,83.60,0.00,0.00,0.00,0.00,0.00,15.80
436,1,190,2020,Europe,Slovenia,0.00,77.20,0.00,0.00,0.00,3.90,0.00,18.80
437,1,191,2020,Asia-Pacific,Solomon Islands,0.00,97.40,1.30,0.00,0.00,0.00,0.00,0.00
438,1,192,2020,Sub-Saharan Africa,Somalia,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
439,1,193,2020,Sub-Saharan Africa,South Africa,0.00,80.80,0.00,1.00,0.00,1.90,0.00,15.30
440,1,194,2020,Asia-Pacific,South Korea,21.90,30.10,0.00,0.00,0.00,0.00,0.00,46.60
441,1,195,2020,Europe,Spain,0.00,75.20,0.00,0.00,0.00,3.30,0.00,21.00
442,1,196,2020,Asia-Pacific,Sri Lanka,68.60,7.20,0.00,13.70,0.00,10.40,0.00,0.00
443,1,197,2020,Middle East-North Africa,Sudan,0.00,5.40,2.80,0.00,0.00,90.70,0.00,1.00
444,1,198,2020,Latin America-Caribbean,Suriname,0.00,52.30,5.60,18.80,0.00,14.30,1.90,6.20
445,1,199,2020,Sub-Saharan Africa,Swaziland,0.00,88.70,1.00,0.00,0.00,0.00,0.00,9.40
446,1,200,2020,Europe,Sweden,0.00,63.00,0.00,0.00,0.00,6.50,0.00,29.00
447,1,201,2020,Europe,Switzerland,0.00,70.00,0.00,0.00,0.00,5.60,0.00,22.80
448,1,202,2020,Middle East-North Africa,Syria,0.00,5.20,0.00,0.00,0.00,92.80,0.00,2.00
449,1,203,2020,Asia-Pacific,Taiwan,21.20,5.80,43.80,0.00,0.00,0.00,15.50,13.70
450,1,204,2020,Asia-Pacific,Tajikistan,0.00,1.80,0.00,0.00,0.00,96.40,0.00,1.50
451,1,205,2020,Sub-Saharan Africa,Tanzania,0.00,63.10,1.10,0.00,0.00,34.10,0.00,1.60
452,1,206,2020,Asia-Pacific,Thailand,92.60,0.00,0.00,0.00,0.00,6.00,0.00,0.00
453,1,207,2020,Asia-Pacific,Timor-Leste,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
454,1,208,2020,Sub-Saharan Africa,Togo,0.00,42.30,36.90,0.00,0.00,14.00,0.00,6.20
455,1,209,2020,Asia-Pacific,Tokelau,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
456,1,210,2020,Asia-Pacific,Tonga,0.00,98.90,0.00,0.00,0.00,0.00,0.00,0.00
457,1,211,2020,Latin America-Caribbean,Trinidad and Tobago,0.00,66.30,2.00,22.30,0.00,5.80,1.40,1.80
458,1,212,2020,Middle East-North Africa,Tunisia,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
459,1,213,2020,Asia-Pacific,Turkey,0.00,0.00,0.00,0.00,0.00,98.00,0.00,1.20
460,1,214,2020,Asia-Pacific,Turkmenistan,0.00,6.40,0.00,0.00,0.00,93.00,0.00,0.00
461,1,215,2020,Latin America-Caribbean,Turks and Caicos Islands,0.00,92.10,2.70,0.00,0.00,0.00,0.00,4.60
462,1,216,2020,Asia-Pacific,Tuvalu,0.00,96.70,0.00,0.00,0.00,0.00,1.90,1.30
463,1,217,2020,Sub-Saharan Africa,Uganda,0.00,86.10,0.00,0.00,0.00,12.10,0.00,0.00
464,1,218,2020,Europe,Ukraine,0.00,85.60,0.00,0.00,0.00,1.70,0.00,12.50
465,1,219,2020,Middle East-North Africa,United Arab Emirates,2.40,12.90,0.00,7.70,0.00,75.00,0.00,1.10
466,1,220,2020,Europe,United Kingdom,0.00,59.10,0.00,1.60,0.00,6.10,0.00,31.20
467,1,221,2020,North America,United States,1.20,75.50,0.00,0.00,1.70,1.10,0.00,18.60
468,1,222,2020,Latin America-Caribbean,U.S. Virgin Islands,0.00,94.80,0.00,0.00,0.00,0.00,0.00,3.70
469,1,223,2020,Latin America-Caribbean,Uruguay,0.00,57.00,0.00,0.00,0.00,0.00,0.00,41.50
470,1,224,2020,Asia-Pacific,Uzbekistan,0.00,2.00,0.00,0.00,0.00,97.10,0.00,0.00
471,1,225,2020,Asia-Pacific,Vanuatu,0.00,93.50,4.00,0.00,0.00,0.00,1.40,1.20
472,1,226,2020,Latin America-Caribbean,Venezuela,0.00,89.50,0.00,0.00,0.00,0.00,0.00,9.70
473,1,227,2020,Asia-Pacific,Vietnam,16.20,8.40,45.00,0.00,0.00,0.00,0.00,29.90
474,1,228,2020,Asia-Pacific,Wallis and Futuna,0.00,97.40,1.20,0.00,0.00,0.00,0.00,0.00
475,1,229,2020,Middle East-North Africa,Western Sahara,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
476,1,230,2020,Middle East-North Africa,Yemen,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
477,1,231,2020,Sub-Saharan Africa,Zambia,0.00,97.40,0.00,0.00,0.00,0.00,0.00,0.00
478,1,232,2020,Sub-Saharan Africa,Zimbabwe,0.00,87.10,4.00,0.00,0.00,0.00,0.00,7.60
479,1,237,2020,Sub-Saharan Africa,South Sudan,0.00,60.50,32.90,0.00,0.00,6.20,0.00,0.00
480,1,238,2020,Latin America-Caribbean,Curacao,0.00,93.90,1.20,0.00,0.00,0.00,0.00,3.30
481,1,239,2020,Latin America-Caribbean,Sint Maarten,0.00,93.90,1.20,0.00,0.00,0.00,0.00,3.30
482,1,240,2020,Latin America-Caribbean,Caribbean Netherlands,0.00,93.90,1.20,0.00,0.00,0.00,0.00,3.30
